platform,query,page,product_name,current_price,original_price,discount,fake_discount,rating,urgency_text,has_urgency,suspicious_discount,full_text,product_url
Flipkart,shoes,1,Roadster Casual Boat Shoes Boat Shoes For Men,₹899,"₹2,999",70% off,No,N/A,Only 1 left,True,True,"Roadster Casual Boat Shoes Boat Shoes For Men ₹899 ₹2,999 70% off Only 1 left",https://www.flipkart.com/roadster-casual-boat-shoes-men/p/itm36212af378d76?pid=SHOHNWVT2KHX3AZR&lid=LSTSHOHNWVT2KHX3AZRBB6VXR&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_4&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOHNWVT2KHX3AZR.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,HOTSTYLE Trendy & Stylish Running Shoes For Men,₹226,₹999,77% off,No,N/A,None,False,True,HOTSTYLE Trendy & Stylish Running Shoes For Men ₹226 ₹999 77% off Hot Deal,https://www.flipkart.com/hotstyle-trendy-stylish-running-shoes-men/p/itme3f5ce18186c3?pid=SHOG483UHWHEGSE7&lid=LSTSHOG483UHWHEGSE7LOLQHU&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_5&otracker=search&fm=organic&iid=en_HiUhQEDnJU4ebg38i5S4afzD6SjFC8GxDIs6Ze8K4e5nhzCEwztDTRY1v_qhEqIJW7HEXNBrt85JXgGRKypWJw%3D%3D&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,Birde Premium Memory FoamComfortable Regular Wear Walking Sho,₹470,"₹1,999",76% off,No,N/A,None,False,True,"Birde Premium Memory FoamComfortable Regular Wear Walking Sho... ₹470 ₹1,999 76% off Hot Deal",https://www.flipkart.com/birde-premium-memory-foamcomfortable-regular-wear-walking-shoes-men/p/itm92d249e95ab60?pid=SHOHBXZKYU4RRDWJ&lid=LSTSHOHBXZKYU4RRDWJNJKCPY&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_6&otracker=search&fm=organic&iid=en_HiUhQEDnJU4ebg38i5S4afzD6SjFC8GxDIs6Ze8K4e6gFG8Mk1c4xDzvYi_A0wZWtZGtRNguJIKTrdSiT8ttHPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,Teeny Step Black Boot For Men Boots For Men,₹419,"₹1,599",73% off,No,N/A,Only few left,True,True,"Teeny Step Black Boot For Men Boots For Men ₹419 ₹1,599 73% off Only few left",https://www.flipkart.com/teeny-step-black-boot-men-boots/p/itmb7d60e8f39b6d?pid=SHOHM28SGG2KYX44&lid=LSTSHOHM28SGG2KYX443QBFST&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_7&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOHM28SGG2KYX44.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,Stride Up New Design Lightweight Stylish and Trendy Walking Shoes,₹496,"₹2,499",80% off,No,N/A,Only few left,True,True,"Stride Up New Design Lightweight Stylish and Trendy Walking Shoes... ₹496 ₹2,499 80% off Only few left",https://www.flipkart.com/stride-up-new-design-lightweight-stylish-trendy-walking-shoes-men-sneakers/p/itm7d8d00e3d15e0?pid=SHOHNWFCRSMZUWF7&lid=LSTSHOHNWFCRSMZUWF76NJ9JN&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_8&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOHNWFCRSMZUWF7.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,"JAIPUR DIVINECRAFT Men's Jalsa Jutti,Jutis For Men BROWN Slip On For Men",₹306,₹999,69% off,No,N/A,Only few left,True,False,"JAIPUR DIVINECRAFT Men's Jalsa Jutti,Jutis For Men BROWN Slip On For Men ₹306 ₹999 69% off Only few left",https://www.flipkart.com/jaipur-divinecraft-men-s-jalsa-jutti-jutis-men-brown-slip/p/itm9039281b95659?pid=SHOHMFYFRQGXCCES&lid=LSTSHOHMFYFRQGXCCESH2N3ES&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_9&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOHMFYFRQGXCCES.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,"BERSACHE Premium Sports ,Gym, Trending, Stylish Running Shoes Fo",₹854,"₹4,999",82% off,No,N/A,Lowest price,True,True,"BERSACHE Premium Sports ,Gym, Trending, Stylish Running Shoes Fo... ₹854 ₹4,999 82% off Lowest price in the year",https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-men/p/itm82a027d495ab0?pid=SHOGWCCAGYQ2WNY7&lid=LSTSHOGWCCAGYQ2WNY7B3VUA0&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_10&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOGWCCAGYQ2WNY7.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,URBANBOX Trending Stylish Casual Outdoor Sneakers Shoes For Men,₹270,₹999,72% off,No,N/A,None,False,True,URBANBOX Trending Stylish Casual Outdoor Sneakers Shoes For Men ... ₹270 ₹999 72% off Hot Deal,https://www.flipkart.com/urbanbox-trending-stylish-casual-outdoor-sneakers-shoes-men/p/itm20f1e7caa80e8?pid=SHOGP8QHAVHFZ6BV&lid=LSTSHOGP8QHAVHFZ6BVZ5TUQV&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_11&otracker=search&fm=organic&iid=en_HiUhQEDnJU4ebg38i5S4afzD6SjFC8GxDIs6Ze8K4e5VcOMSN9RM1HeMIKhqIiO72pZcUOBDbSV9Ljl8pyCcCPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,Echor Casual White Sneakers for Men Sneakers For Men,₹363,"₹1,999",81% off,No,N/A,None,False,True,"Echor Casual White Sneakers for Men Sneakers For Men ₹363 ₹1,999 81% off",https://www.flipkart.com/echor-casual-white-sneakers-men/p/itmda763be74b8e8?pid=SHOHBZJV9KDF3NFY&lid=LSTSHOHBZJV9KDF3NFYMXMRYT&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_12&otracker=search&fm=organic&iid=en_HiUhQEDnJU4ebg38i5S4afzD6SjFC8GxDIs6Ze8K4e4I_M_h1UmatwydkzFcXFtDomqdVmZYuoFKU1wrNXyg2g%3D%3D&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,RED TAPE Red Tape Athleisure Shoes for Men | Soft Cushioned Inso,"₹1,475","₹8,199",82% off,No,N/A,None,False,True,"RED TAPE Red Tape Athleisure Shoes for Men | Soft Cushioned Inso... ₹1,475 ₹8,199 82% off Hot Deal",https://www.flipkart.com/red-tape-athleisure-shoes-men-soft-cushioned-insole-slip-resistance-walking/p/itm0d9f74c8d4589?pid=SHOHB4GYUWNCJHZG&lid=LSTSHOHB4GYUWNCJHZGRZ7AGA&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_13&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOHB4GYUWNCJHZG.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
